"CATEGORY (do NOT modify)","TEXT TO TRANSLATE (do NOT modify)","TRANSLATION (edit this column)","NOTES (do NOT modify)"
"default","Invalid or expired access code. Try again.","",""
"enhanced","Notes insert","",""
"enhanced","Enter your notes here.","",""
"enhanced","Quiz","",""
"enhanced","Question","",""
"enhanced","Answers","",""
"enhanced","Shuffle answers on each attempt","",""
"enhanced","Add a question","",""
"enhanced","Shuffle questions on each attempt","",""
"enhanced","Learning (LTI) tool","",""
"enhanced","Launch URL","",""
"enhanced","Video","",""
"enhanced","YouTube, Vimeo, MP4 or WebM link","",""
"enhanced","Start time (optional)","",""
"enhanced","End time (optional)","",""
"enhanced","Discussion question","",""
"enhanced","Reflection question","",""
"enhanced","Poll question","",""
"enhanced","Choices","",""
"enhanced","Document","",""
"enhanced","Images","",""
"enhanced","Audio","",""
"enhanced","Instructor’s highlight","",""
"enhanced","Exit preview","",""
"enhanced","No changes since last publish.","",""
"enhanced","Contains unpublished changes.","",""
"enhanced","Not yet published.","",""
"enhanced","Publish","",""
"enhanced","Discard changes","",""
"enhanced","Remove","",""
"enhanced","Preview","",""
"enhanced","Enter your answer here.","",""
"enhanced","This is a reflection question. Your answer is private.","",""
"enhanced","This is a reflection question. Your answer may be seen by you and your instructor(s).","",""
"enhanced","Correct!","",""
"enhanced","Whoops. That’s incorrect.","",""
"enhanced","Check my answer","",""
"enhanced","View my score","",""
"enhanced","Go to next question","",""
"enhanced","Score: {{percent}}%","",""
"enhanced","Retake this quiz","",""
"enhanced","Whoops!","",""
"enhanced","You must have an active internet connection and be fully synced to manage classrooms.","",""
"enhanced","Enter your introduction here.","",""
"enhanced","Students can also view your notes below.","",""
"enhanced","Show students my note","",""
"enhanced","Share this highlight and any associated note with your classrooms.","",""
"enhanced","Changes to the notes will automatically update for students as well.","",""
"enhanced","Syllabus","",""
"enhanced","Reading schedule","",""
"enhanced","Instructor’s introduction","",""
"enhanced","Options","",""
"enhanced","Front matter","",""
"enhanced","Connecting","",""
"enhanced","Analytics","",""
"enhanced","Scores","",""
"enhanced","Surveys","",""
"enhanced","Discussions","",""
"enhanced","Off","",""
"enhanced","Front matter and options","",""
"enhanced","Students","",""
"enhanced","Text code:","",""
"enhanced","Or use the QR code:","",""
"enhanced","Instructors","",""
"enhanced","Connect additional instructors","",""
"enhanced","File name: {{name}}","",""
"enhanced","Size: {{size}}","",""
"enhanced","Upload file","",""
"enhanced","Upload files","",""
"enhanced","Unnamed","",""
"enhanced","Tool name","",""
"enhanced","Tool type","",""
"enhanced","None","",""
"enhanced","Based off...","",""
