"CATEGORY (do NOT modify)","TEXT TO TRANSLATE (do NOT modify)","TRANSLATION (edit this column)","NOTES (do NOT modify)"
"default","Note: By using this app, you consent to us recording usage data for the purpose of better improving our services.","",""
"default","{{num}} mb","",""
"default","{{num}} kb","",""
"default","Are you sure you want to remove “{{book_title}}” from this device?","",""
"default","Finding books...","",""
"default","Sorry! There was an error flipping to that page.","",""
"default","Updating reader...","",""
"default","Invalid book.","",""
"default","Book default","",""
"default","Create a new classroom","",""
"default","Connect to a classroom","",""
"default","Manage classrooms","",""
"default","Waiting for an internet connection to get your book list...","",""
"default","Recent","",""
"default","Enhanced","",""
"default","Add front matter","",""
"default","Note","",""
"default","Confirmation","",""
"default","Confirm","",""
"default","Classroom name","",""
"default","Eg. Fall 2020","",""
"default","Create","",""
"default","Failed to connect to the classroom. Check the code and try again.","",""
"default","You successfully connected to the classroom. However, we are unable to load the classroom data.","",""
"default","Code","",""
"default","Eg. U76RE9","",""
"default","Connect","",""
"default","Importing books","",""
"default","Select files to import.","",""
"default","Uploading...","",""
"default","Failed.","",""
"default","Already in the library.","",""
"default","Imported successfully.","",""
"default","Book id: {{id}}","",""
"default","Enhanced: {{name}}","",""
"default","Import books to server","",""
"default","Created by Toad Reader","",""
"default","Launch your custom eReader","",""
"default","Delete","",""
"default","Delete book from server","",""
"default","“{{title}}” has been deleted.","",""
"default","Book id: {{book_id}}","",""
"default","Deleting this book from the server will revoke access to it for all users and make user data connected to this book permanently inaccessible.","",""
"default","Are you sure you want to delete “{{title}}”?","",""
"default","Permanently Delete","",""
